year,ACTscore,zscore
2008,14.2,-0.9116677944706965
2009,13.8,-1.0393588135480267
2010,14.1,-0.9435905492400289
2011,15.1,-0.6243630015467022
2012,14.1,-0.9435905492400289
2013,15.2,-0.5924402467773697
2014,14.7,-0.752054020624033
2001,15.5,-0.49667198246937144
2002,15.2,-0.5924402467773697
2003,14.8,-0.7201312658546999
2004,15.7,-0.4328264729307063
2005,15.7,-0.4328264729307063
2006,14.9,-0.6882085110853674
2007,15.3,-0.5605174920080366
2008,15.8,-0.4009037181613732
2009,15.3,-0.5605174920080366
2010,15.8,-0.4009037181613732
2011,15.6,-0.4647492277000389
2012,15.2,-0.5924402467773697
2013,15.6,-0.4647492277000389
2014,15.6,-0.4647492277000389
2001,14.9,-0.6882085110853674
2002,15.2,-0.5924402467773697
2003,15.1,-0.6243630015467022
2004,15.1,-0.6243630015467022
2005,16.0,-0.3370582086227081
2006,15.7,-0.4328264729307063
2007,15.9,-0.3689809633920406
2008,16.2,-0.27321269908404294
2009,15.4,-0.528594737238704
2010,15.4,-0.528594737238704
2011,15.6,-0.4647492277000389
2012,15.5,-0.49667198246937144
2013,15.4,-0.528594737238704
2014,16.2,-0.27321269908404294
2001,14.8,-0.7201312658546999
2002,15.1,-0.6243630015467022
2003,15.3,-0.5605174920080366
2004,15.4,-0.528594737238704
2005,16.1,-0.3051354538533749
2006,16.4,-0.20936718954537784
2007,15.6,-0.4647492277000389
2008,15.7,-0.4328264729307063
2009,15.0,-0.6562857563160348
2010,15.5,-0.49667198246937144
2011,15.8,-0.4009037181613732
2012,16.5,-0.1774444347760447
2013,17.3,0.07793760337861691
2014,18.4,0.42908790584127565
2001,15.6,-0.4647492277000389
2002,15.3,-0.5605174920080366
2003,15.3,-0.5605174920080366
2004,15.9,-0.3689809633920406
2005,16.0,-0.3370582086227081
2006,16.1,-0.3051354538533749
2007,16.4,-0.20936718954537784
2008,16.3,-0.24128994431470982
2009,15.9,-0.3689809633920406
2010,16.2,-0.27321269908404294
2011,16.0,-0.3370582086227081
2012,16.4,-0.20936718954537784
2013,16.2,-0.27321269908404294
2014,16.7,-0.11359892523737959
2001,15.9,-0.3689809633920406
2002,15.8,-0.4009037181613732
2003,15.9,-0.3689809633920406
2004,16.1,-0.3051354538533749
2005,16.0,-0.3370582086227081
2006,16.4,-0.20936718954537784
2007,16.1,-0.3051354538533749
2008,16.1,-0.3051354538533749
2009,15.4,-0.528594737238704
2010,15.3,-0.5605174920080366
2011,15.4,-0.528594737238704
2012,14.5,-0.8158995301626982
2013,15.0,-0.6562857563160348
2014,15.6,-0.4647492277000389
2001,15.3,-0.5605174920080366
2002,15.4,-0.528594737238704
2003,16.7,-0.11359892523737959
2004,16.9,-0.049753415698714464
2005,17.7,0.20562862245594715
2006,17.4,0.10986035814794891
2007,17.5,0.14178311291728204
2008,18.3,0.39716515107194367
2009,18.6,0.4929334153799419
2010,18.9,0.588701679687939
2011,17.9,0.2694741319946123
2012,18.4,0.42908790584127565
2013,18.8,0.556778924918607
2014,19.0,0.6206244344572721
2001,13.7,-1.0712815683173598
2002,13.7,-1.0712815683173598
2003,14.6,-0.7839767753933656
2004,14.5,-0.8158995301626982
2005,14.4,-0.8478222849320307
2006,14.1,-0.9435905492400289
2007,14.2,-0.9116677944706965
2008,14.0,-0.9755133040093615
2009,14.1,-0.9435905492400289
2010,13.9,-1.0074360587786941
2011,13.5,-1.135127077856025
2012,13.5,-1.135127077856025
2013,14.6,-0.7839767753933656
2014,14.6,-0.7839767753933656
2002,13.3,-1.1989725873946901
2003,14.1,-0.9435905492400289
2004,15.0,-0.6562857563160348
2005,14.4,-0.8478222849320307
2006,14.4,-0.8478222849320307
2007,14.4,-0.8478222849320307
2008,14.4,-0.8478222849320307
2009,14.2,-0.9116677944706965
2010,14.4,-0.8478222849320307
2011,14.1,-0.9435905492400289
2012,14.7,-0.752054020624033
2013,13.9,-1.0074360587786941
2014,14.1,-0.9435905492400289
2001,19.7,0.8440837178426006
2002,19.2,0.6844699439959373
2003,18.7,0.5248561701492739
2004,20.7,1.1633112655359275
2005,20.7,1.1633112655359275
2006,19.7,0.8440837178426006
2007,19.3,0.7163926987652703
2008,20.3,1.035620246458597
2009,19.3,0.7163926987652703
2010,20.0,0.9398519821505988
2011,20.5,1.0994657559972623
2012,20.2,1.003697491689264
2013,19.8,0.8760064726119338
2014,19.6,0.8121609630732687
2001,21.1,1.2910022846132587
2002,21.2,1.3229250393825907
2003,20.7,1.1633112655359275
2004,20.6,1.1313885107665953
2005,20.7,1.1633112655359275
2006,21.7,1.482538813229254
2007,21.6,1.4506160584599221
2008,21.8,1.5144615679985873
2009,21.7,1.482538813229254
2010,21.4,1.3867705489212558
2011,21.6,1.4506160584599221
2012,22.3,1.6740753418452505
2013,22.1,1.6102298323065856
2014,22.1,1.6102298323065856
2001,15.7,-0.4328264729307063
2002,15.5,-0.49667198246937144
2003,15.8,-0.4009037181613732
2004,15.6,-0.4647492277000389
2005,15.5,-0.49667198246937144
2006,15.9,-0.3689809633920406
2007,15.6,-0.4647492277000389
2008,15.3,-0.5605174920080366
2009,15.7,-0.4328264729307063
2010,15.8,-0.4009037181613732
2011,15.5,-0.49667198246937144
2012,16.2,-0.27321269908404294
2013,16.3,-0.24128994431470982
2014,16.8,-0.08167617046804646
2001,13.8,-1.0393588135480267
2002,14.6,-0.7839767753933656
2003,14.3,-0.8797450397013633
2004,15.1,-0.6243630015467022
2005,15.0,-0.6562857563160348
2006,15.2,-0.5924402467773697
2007,15.3,-0.5605174920080366
2008,14.9,-0.6882085110853674
2009,14.5,-0.8158995301626982
2010,14.7,-0.752054020624033
2011,15.0,-0.6562857563160348
2012,15.1,-0.6243630015467022
2013,14.8,-0.7201312658546999
2014,15.5,-0.49667198246937144
2001,17.3,0.07793760337861691
2002,17.1,0.01409209383995179
2003,16.3,-0.24128994431470982
2004,17.4,0.10986035814794891
2005,17.0,-0.017830660929381337
2006,16.7,-0.11359892523737959
2007,17.1,0.01409209383995179
2008,17.5,0.14178311291728204
2009,16.9,-0.049753415698714464
2010,17.7,0.20562862245594715
2011,17.4,0.10986035814794891
2012,17.8,0.23755137722528027
2013,17.3,0.07793760337861691
2014,17.3,0.07793760337861691
2001,19.4,0.7483154535346024
2002,17.8,0.23755137722528027
2003,17.3,0.07793760337861691
2004,17.8,0.23755137722528027
2005,18.3,0.39716515107194367
2006,17.9,0.2694741319946123
2007,18.6,0.4929334153799419
2008,18.8,0.556778924918607
2009,18.6,0.4929334153799419
2010,18.7,0.5248561701492739
2011,19.2,0.6844699439959373
2012,19.3,0.7163926987652703
2013,18.7,0.5248561701492739
2014,19.4,0.7483154535346024
2001,25.0,2.5359897206172324
2002,25.3,2.6317579849252306
2003,26.8,3.110599306465221
2004,28.2,3.557517873235878
2005,27.4,3.3021358350812164
2006,27.1,3.206367570773219
2007,27.5,3.3340585898505495
2008,28.5,3.6532861375438763
2009,28.8,3.7490544018518746
2010,28.5,3.6532861375438763
2011,28.8,3.7490544018518746
2012,29.6,4.004436440006536
2013,29.4,3.9405909304678697
2014,29.1,3.844822666159873
2001,14.3,-0.8797450397013633
2002,13.5,-1.135127077856025
2003,13.9,-1.0074360587786941
2004,14.8,-0.7201312658546999
2005,14.1,-0.9435905492400289
2006,14.3,-0.8797450397013633
2007,15.1,-0.6243630015467022
2008,15.5,-0.49667198246937144
2009,13.8,-1.0393588135480267
2010,14.6,-0.7839767753933656
2011,14.6,-0.7839767753933656
2012,15.0,-0.6562857563160348
2013,15.1,-0.6243630015467022
2014,15.7,-0.4328264729307063
2001,12.9,-1.3266636064720208
2005,18.8,0.556778924918607
2006,18.6,0.4929334153799419
2007,19.5,0.7802382083039355
2008,19.4,0.7483154535346024
2009,18.9,0.588701679687939
2010,19.7,0.8440837178426006
2011,20.5,1.0994657559972623
2012,20.9,1.2271567750745924
2013,21.2,1.3229250393825907
2014,20.3,1.035620246458597
2001,17.2,0.04601484860928379
2002,18.2,0.3652423963026105
2003,17.7,0.20562862245594715
2004,19.6,0.8121609630732687
2005,19.6,0.8121609630732687
2006,19.6,0.8121609630732687
2007,19.2,0.6844699439959373
2008,19.1,0.6525471892266053
2009,19.5,0.7802382083039355
2010,19.6,0.8121609630732687
2011,20.4,1.0675430012279292
2012,20.2,1.003697491689264
2013,20.4,1.0675430012279292
